GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0005576,extracellular region,A7MB70(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q28019(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P45478(Evidence code:ISS/Database source:UniProtKB:P50897)Q8MJ24(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3SWW8(Evidence code:IEA/Database source:InterPro:IPR008859)P50291(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)F1MD95(Evidence code:IEA/Database source:UniProtKB:Q9EPL2|ens)P17453(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q17QK3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P22444(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P56652(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q9MYY0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)A1A4K5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q32L50(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P21793(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P80929(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)A5D7V3(Evidence code:IEA/Database source:InterPro:IPR000867)Q05443(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q07537(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)E1BPW0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)O19116(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P19879(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)E1BF81(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q28193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P98140(Evidence code:IEA/Database source:InterPro:IPR000083)A7YWG4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P49259(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q05717(Evidence code:IEA/Database source:InterPro:IPR000867|I)Q2KJ63(Evidence code:IEA/Database source:InterPro:IPR000177)O18739(Evidence code:IEA/Database source:InterPro:IPR000867)Q95M17(Evidence code:IEA/Database source:InterPro:IPR002557)A6QLI0(Evidence code:IEA/Database source:InterPro:IPR001299)E1BI98(Evidence code:IEA/Database source:UniProtKB:P12109|ens)Q9GLE5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)A6QL48(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P49907(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)E1BG25(Evidence code:IEA/Database source:InterPro:IPR018195)A2VE29(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)A5PKI3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)F1MW38(Evidence code:IEA/Database source:InterPro:IPR000867)P00743(Evidence code:IEA/Database source:InterPro:IPR000294|I)G3MYZ3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)A5D7S8(Evidence code:IEA/Database source:InterPro:IPR000020), SEMA3C LTBP2 PPT1 LOXL4 THBS4 FST CLSTN1 BPI CPQ BMP3 ITIH3 HPSE ENPP2 SBSPON DCN ANG2 ESM1 LUM GALNT1 ENTPD5 SFRP1 OGN SERPINA6 FURIN F12 GGH PLA2R1 IGFBP5 KLKB1 CTGF CHIA EPDR1 COL6A1 MMP2 IL34 SELENOP MELTF ITIH5 FAM3C CRIM1 F10 AFM FBLN1,CC,43,43 of 300,24.86,14.33,4.116E-42,3.816E-39
GO:0005615,extracellular space,Q05717(Evidence code:IBA/Database source:PANTHER:PTN000167605)O19116(Evidence code:IDA/Database source:)P25975(Evidence code:IEA/Database source:UniProtKB:P06797|ens)A5PJ69(Evidence code:IEA/Database source:InterPro:IPR000215)F1MG91(Evidence code:IEA/Database source:InterPro:IPR000215)A3KLR9(Evidence code:IEA/Database source:UniProtKB:O09164|ens)A6QL48(Evidence code:IEA/Database source:InterPro:IPR020415)P17453(Evidence code:IEA/Database source:InterPro:IPR030675)A7YWG4(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3SWW8(Evidence code:ISS/Database source:UniProtKB:Q9Z1T2)Q17QK3(Evidence code:ISS/Database source:UniProtKB:Q9Y646)G3MYZ3(Evidence code:IEA/Database source:InterPro:IPR000264|I)Q5BIR5(Evidence code:IEA/Database source:InterPro:IPR000215)A7MB70(Evidence code:IEA/Database source:UniProtKB:Q62181|ens)E1BG25(Evidence code:IEA/Database source:InterPro:IPR016357)Q5EA85(Evidence code:IBA/Database source:PANTHER:PTN000744245)F1MEW1(Evidence code:IBA/Database source:PANTHER:PTN000744245)Q9XSC6(Evidence code:ISS/Database source:UniProtKB:P00565)Q2KJ63(Evidence code:IEA/Database source:UniProtKB:P03952|ens)Q2KJ64(Evidence code:IEA/Database source:UniProtKB:P05089|ens)G3X6G7(Evidence code:IEA/Database source:UniProtKB:Q8VE43|ens)P22444(Evidence code:IEA/Database source:UniProtKB-KW:KW-0202)G8JKW7(Evidence code:IEA/Database source:InterPro:IPR000215)A1A4K5(Evidence code:ISS/Database source:UniProtKB:Q13822)A6QP36(Evidence code:IEA/Database source:UniProtKB:Q12907|ens)A5D7C8(Evidence code:IEA/Database source:UniProtKB:O09126|ens)Q95M17(Evidence code:ISS/Database source:UniProtKB:Q9BZP6)Q8MJ24(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P98140(Evidence code:IEA/Database source:InterPro:IPR014394)E1BF81(Evidence code:IEA/Database source:InterPro:IPR000215)Q3SYW7(Evidence code:IEA/Database source:InterPro:IPR001999)P19879(Evidence code:IBA/Database source:PANTHER:PTN001224703)E1BIR5(Evidence code:IEA/Database source:UniProtKB:O75339|ens)Q17QB3(Evidence code:IEA/Database source:UniProtKB:Q13510|ens)A5PK77(Evidence code:IEA/Database source:InterPro:IPR000215)Q2KIW4(Evidence code:IEA/Database source:UniProtKB:P04180|ens)Q05443(Evidence code:IBA/Database source:PANTHER:PTN001224703)Q0VCU3(Evidence code:IBA/Database source:PANTHER:PTN000274640), IGFBP5 SFRP1 CTSL SERPINA10 SERPINB2 ECSOD IL34 BPI GGH THBS4 CPQ AFM SERPINB8 SEMA3C MELTF SEMA4A SEMA3A CKM KLKB1 ARG1 METRNL BMP3 SERPINA3 ENPP2 LMAN2 SEMA4D CHIA LOXL4 F12 SERPINA6 SPARCL1 OGN CILP ASAH1 SERPINA11 LCAT LUM CTSF,CC,38,38 of 426,21.97,8.92,1.233E-30,5.716E-28
GO:0016020,membrane,Q9GKR2(Evidence code:IEA/Database source:InterPro:IPR003987|I)F1MFJ3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QPT7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q9MYM4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5EA85(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1BEC6(Evidence code:IEA/Database source:InterPro:IPR008078)A5D7C8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A7E335(Evidence code:IEA/Database source:InterPro:IPR002126|I)Q2TBL2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QLT8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MME1(Evidence code:IEA/Database source:InterPro:IPR000998)F1MJV6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1ME65(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q28193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MNL4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MS76(Evidence code:IEA/Database source:UniProtKB:Q8C341|ens)A5PKH0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q9TTK6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MMI6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1BKZ9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P00514(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1B8L8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1ML49(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1N780(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QP36(Evidence code:IEA/Database source:InterPro:IPR005052)Q2HJD1(Evidence code:IEA/Database source:InterPro:IPR005052)F1MCA2(Evidence code:IEA/Database source:InterPro:IPR002126|I)O62829(Evidence code:ISS/Database source:UniProtKB:P49443)Q07537(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q6ZXD2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1BBP1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q8MJ24(Evidence code:IEA/Database source:InterPro:IPR001190|I)G3MY87(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MW08(Evidence code:IEA/Database source:UniProtKB:Q8R2E9|ens)F1N2J8(Evidence code:IEA/Database source:UniProtKB:Q6UX73|ens)A7Z047(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MD95(Evidence code:IEA/Database source:InterPro:IPR002126|I)Q769I5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)G3MWN4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1BJP8(Evidence code:IEA/Database source:InterPro:IPR002126|I)F1ML75(Evidence code:IEA/Database source:UniProtKB:P14778|ens)A5PJN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QP79(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)O62830(Evidence code:ISS/Database source:UniProtKB:P36993)E1B969(Evidence code:IEA/Database source:InterPro:IPR002126|I)Q3T083(Evidence code:IEA/Database source:InterPro:IPR016093|I)Q5E9X0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P17453(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1N283(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q9MYY0(Evidence code:IEA/Database source:InterPro:IPR005199)Q1ZYR0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QLR1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1BKQ9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P01131(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q3ZBZ6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q0VC16(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P49259(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q9GLE5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2KIW4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2TBK6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1BD40(Evidence code:IEA/Database source:InterPro:IPR002126|I)F1MW38(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5EA01(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q08DN1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MS00(Evidence code:IEA/Database source:InterPro:IPR002126|I), VCAM1 PTPRG ERAP2 GAA SEMA4A ADGRF1 SEMA4D CDH16 CADM1 FOLH1 PTPRK ADGRG6 CKAP4 FURIN NEO1 SUCO TOR1AIP2 AOC3 LRRC15 SORT1 PRKAR1A FCAMR KIAA0319L EPHA7 LMAN2 LMAN2L PCDHGB1 PPM1A GALNT1 ST8SIA1 GALNT3 LOXL4 MGAM ERO1B C16orf89 TMEM132A CLSTN1 MET GOLIM4 PCDHGA7 IL1R1 ERO1A  COLEC12 PPM1B DCHS1 SDF2L1 GFRA2 BPI XXYLT1 HPSE CLN5 PVRL4 GALNT5 LDLR GPC3 MIA3 PLA2R1 MMP2 LCAT MGC133692 PCDHGB2 CRIM1 B4GAT1  TNFRSF21 RET,CC,65,65 of 1837,37.57,3.54,1.329E-27,4.107E-25
GO:0016021,integral component of membrane,Q6ZXD2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1MFJ3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)E1B969(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2KIW4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2TBL2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)G3MY87(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1MNL4(Evidence code:IEA/Database source:InterPro:IPR010560)E1BKQ9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2HJD1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1MD95(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q1ZYR0(Evidence code:ISS/Database source:UniProtKB:O75503)F1MME1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1N780(Evidence code:IEA/Database source:InterPro:IPR001426)F1MJV6(Evidence code:IEA/Database source:InterPro:IPR000832|I)A5PKH0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A7Z047(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q9GKR2(Evidence code:IEA/Database source:InterPro:IPR008424)F1ML49(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q0VC16(Evidence code:ISS/Database source:UniProtKB:Q5JRA6)Q07537(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q9TTK6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)E1BD40(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6QP79(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)E1BEC6(Evidence code:IEA/Database source:InterPro:IPR000832|I)A7E335(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6QLT8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2TBK6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6QLR1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5EA85(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q769I5(Evidence code:IEA/Database source:InterPro:IPR016244)Q5EA01(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1ME65(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)O19116(Evidence code:IBA/Database source:PANTHER:PTN000139394)Q08DN1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)E1BJP8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)E1BKZ9(Evidence code:IEA/Database source:InterPro:IPR006581)A6QP36(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)P01131(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1MMI6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)G3MWN4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)P49259(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q28193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)E1BBP1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6QPT7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1N283(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1MW38(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)F1MCA2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)E1B8L8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812), ST8SIA1 PTPRG DCHS1 LCAT CADM1 MGAM NEO1 GALNT5 LMAN2L CLSTN1 CLN5 PTPRK EPHA7 ADGRG6 TOR1AIP2 TMEM132A VCAM1 KIAA0319L MIA3 GALNT1 AOC3 PCDHGB2 COLEC12 ADGRF1 CDH16 FOLH1 MGC133692 PVRL4 SEMA4A MET B4GAT1  CKAP4 SFRP1 TNFRSF21 PCDHGA7 SORT1 LMAN2 LDLR LRRC15 GOLIM4 PLA2R1 FURIN GALNT3 ERAP2 XXYLT1 CRIM1 PCDHGB1 FCAMR,CC,48,48 of 1299,27.75,3.7,4.016E-22,9.308E-20
GO:0016787,hydrolase activity,Q0VD27(Evidence code:IEA/Database source:InterPro:IPR006439)Q9MYY0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)E1BPW0(Evidence code:IEA/Database source:InterPro:IPR000407)Q17QB3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q0V8B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)P46446(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)A1A4K5(Evidence code:IEA/Database source:InterPro:IPR001604|I)P98140(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q17QX0(Evidence code:IEA/Database source:InterPro:IPR000086|I)A6QPT7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q95M12(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q9MYM4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)P25975(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q2KJ63(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q2KJ64(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)A6H713(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)F1MME1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q29444(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)O62830(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)P80929(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)O62829(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)P00743(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)A7MBC0(Evidence code:IEA/Database source:InterPro:IPR006680)P56965(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q2T9S4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q95M17(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)A7MBI8(Evidence code:IEA/Database source:InterPro:IPR000086|I)P45478(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)A7YWG4(Evidence code:IEA/Database source:InterPro:IPR011697)F1MFJ3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q3T0R6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q9GLE5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q28193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378)Q17QK3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0378), ENOPH1 HPSE ENTPD5 ASAH1 TPP1 ASPA ENPP2 F12 NUDT5 ERAP2 LGMN GAA CTSL KLKB1 ARG1 LIPA PTPRK MANBA PPM1B ANG2 PPM1A F10 AMDHD2 DDAH1 PGP CHIA NUDT9 PPT1 GGH PTPRG CES2 MMP2 FURIN CPQ,MF,34,34 of 836,19.65,4.07,1.128E-17,1.77E-15
GO:0005882,intermediate filament,A6QQQ9(Evidence code:IEA/Database source:InterPro:IPR001664)Q148H8(Evidence code:IEA/Database source:InterPro:IPR001664)A6QP32(Evidence code:IEA/Database source:InterPro:IPR001664)A3KMY1(Evidence code:IEA/Database source:InterPro:IPR001664)Q2KI75(Evidence code:IEA/Database source:InterPro:IPR001664)A5PJJ1(Evidence code:IEA/Database source:InterPro:IPR001664)F1MXG6(Evidence code:IEA/Database source:InterPro:IPR001664)A7YWM2(Evidence code:IEA/Database source:InterPro:IPR001664)A4FUZ0(Evidence code:IEA/Database source:InterPro:IPR001664)A1A4M3(Evidence code:IEA/Database source:InterPro:IPR001664)Q148J0(Evidence code:IEA/Database source:InterPro:IPR001664)F1MSQ6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0403)G3X7V4(Evidence code:IEA/Database source:InterPro:IPR001664), KRT20 KRT72 KRT85 KRT82 KRT222 KRT33A LOC618455 KRT40 KRT83 KRT86 KRT34 NEFH LOC787600,CC,13,13 of 45,7.51,28.89,1.146E-17,1.77E-15
GO:0005509,calcium ion binding,E1BD40(Evidence code:IEA/Database source:InterPro:IPR002126|I)E1B969(Evidence code:IEA/Database source:InterPro:IPR002126|I)A1A4K5(Evidence code:ISS/Database source:UniProtKB:Q13822)E1BBP1(Evidence code:IEA/Database source:UniProtKB:Q14435|ens)F1MCA2(Evidence code:IEA/Database source:InterPro:IPR002126|I)P98140(Evidence code:IEA/Database source:InterPro:IPR001881)E1BJP8(Evidence code:IEA/Database source:InterPro:IPR002126|I)Q28019(Evidence code:IEA/Database source:InterPro:IPR001881|I)A7E335(Evidence code:IEA/Database source:InterPro:IPR002126|I)P01131(Evidence code:IEA/Database source:InterPro:IPR001881|I)P00743(Evidence code:IEA/Database source:InterPro:IPR000294|I)F1MS00(Evidence code:IEA/Database source:InterPro:IPR002126|I)Q3SYW7(Evidence code:IEA/Database source:InterPro:IPR002048|I)E1BA44(Evidence code:IEA/Database source:InterPro:IPR001881|I)A6QLI0(Evidence code:IEA/Database source:InterPro:IPR001299)A5D7S8(Evidence code:IEA/Database source:InterPro:IPR001881|I)F1MD95(Evidence code:IEA/Database source:InterPro:IPR002126|I)Q3SWW8(Evidence code:IEA/Database source:InterPro:IPR001881|I)E1BIY5(Evidence code:IEA/Database source:InterPro:IPR014615), PCDHGB2 DCHS1 ENPP2 GALNT3 PCDHGB1 F12 PCDHGA7 LTBP2 CDH16 LDLR F10 RET SPARCL1 LTBP4 EPDR1 FBLN1 CLSTN1 THBS4 SULF2,MF,19,19 of 203,10.98,9.36,8.198E-17,9.5E-15
GO:0005764,lysosome,Q1ZYR0(Evidence code:IEA/Database source:InterPro:IPR026138)A6QLI0(Evidence code:IEA/Database source:UniProtKB:Q99M71|ens)Q17QK3(Evidence code:ISS/Database source:UniProtKB:Q6IRK9)P01131(Evidence code:ISS/Database source:UniProtKB:P01130)Q0VCU3(Evidence code:IBA/Database source:PANTHER:PTN000274640)Q3ZBZ6(Evidence code:IEA/Database source:UniProtKB:Q8CFZ4|ens)Q17QB3(Evidence code:IEA/Database source:InterPro:IPR016699)A7YWG4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0458)P25975(Evidence code:IEA/Database source:UniProtKB-KW:KW-0458)Q29444(Evidence code:IEA/Database source:UniProtKB-KW:KW-0458)Q0V8B6(Evidence code:ISS/Database source:UniProtKB:O14773)Q95M12(Evidence code:ISS/Database source:UniProtKB:O89017)P45478(Evidence code:ISS/Database source:UniProtKB:P50897)Q9MYM4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0458)Q9MYY0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0458), CLN5 EPDR1 CPQ LDLR CTSF GPC3 ASAH1 GGH CTSL MANBA TPP1 LGMN PPT1 GAA HPSE,CC,15,15 of 93,8.67,16.13,8.108E-17,9.5E-15
GO:0005886,plasma membrane,A6QLR1(Evidence code:IEA/Database source:UniProtKB:K4PZ75|ens)E1BEC6(Evidence code:IEA/Database source:UniProtKB:Q8VEC3|ens)Q5EA85(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)A7E335(Evidence code:IEA/Database source:InterPro:IPR020894|I)F1MNL4(Evidence code:IEA/Database source:UniProtKB:Q92859|ens)P49259(Evidence code:ISS/Database source:UniProtKB:Q13018)P01131(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P00570(Evidence code:IEA/Database source:UniProtKB:Q9R0Y5|ens)A6QPT7(Evidence code:IBA/Database source:PANTHER:PTN000164501)E1BKZ9(Evidence code:IEA/Database source:UniProtKB:Q6PHU5|ens)F1MME1(Evidence code:IEA/Database source:UniProtKB:Q15262|ens)Q2TBL2(Evidence code:IEA/Database source:UniProtKB:Q9BY67|ens)F1MCA2(Evidence code:IEA/Database source:InterPro:IPR020894)F1MS00(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)G3MXM5(Evidence code:IEA/Database source:UniProtKB:P54826|ens)Q9TTK6(Evidence code:ISS/Database source:UniProtKB:Q16853)O19116(Evidence code:IDA/Database source:)Q5E9X0(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P00514(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)E1B969(Evidence code:IEA/Database source:InterPro:IPR020894)A5D7C8(Evidence code:IBA/Database source:PANTHER:PTN000112375)F1MJV6(Evidence code:IEA/Database source:UniProtKB:Q86SQ4|ens)E1BIY5(Evidence code:IEA/Database source:UniProtKB:Q8CFG0|ens)E1BJP8(Evidence code:IEA/Database source:InterPro:IPR020894)Q28193(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)F1MYJ3(Evidence code:IEA/Database source:UniProtKB:Q9Z2A9|ens)E1BD40(Evidence code:IEA/Database source:InterPro:IPR020894)Q3ZBZ6(Evidence code:IEA/Database source:UniProtKB-SubCell:SL), PVRL4 ADGRF1 SEMA4A CDH16 NEO1 PLA2R1 LDLR AK1 ERAP2 SORT1 PTPRK CADM1 PCDHGB1 RET GAS1 AOC3 SFRP1 GFRA2 PRKAR1A DCHS1 SEMA4D ADGRG6 SULF2 PCDHGA7 FURIN GGT5 PCDHGB2 GPC3,CC,28,28 of 630,16.18,4.44,7.03E-16,7.241E-14
GO:0005794,Golgi apparatus,Q5EA01(Evidence code:ISS/Database source:UniProtKB:O43505)Q2HJD1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)A6QP36(Evidence code:IEA/Database source:UniProtKB:Q12907|ens)E1BKQ9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)P45478(Evidence code:ISS/Database source:UniProtKB:P50897)E1BBP1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)E1BIY5(Evidence code:IEA/Database source:InterPro:IPR014615)Q1ZYR0(Evidence code:ISS/Database source:UniProtKB:O75503)Q07537(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)E1BKK9(Evidence code:IEA/Database source:UniProtKB:Q8VHC3|ens)P01131(Evidence code:ISS/Database source:UniProtKB:P01130)A5PKI3(Evidence code:IEA/Database source:UniProtKB:Q92520|ens)Q28193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)E1BKZ9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)Q17QK3(Evidence code:ISS/Database source:UniProtKB:Q6IRK9)F1MNL4(Evidence code:IEA/Database source:UniProtKB:Q92859|ens)Q6ZXD2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333), B4GAT1  LMAN2L LMAN2 GALNT5 PPT1 GALNT3 SULF2 CLN5 GALNT1 SELENOM LDLR FAM3C FURIN SORT1 CPQ NEO1 ST8SIA1,CC,17,17 of 202,9.83,8.42,1.556E-14,1.443E-12
