GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0016020,membrane,P00428(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P31039(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q6QUN5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2KI36(Evidence code:IEA/Database source:InterPro:IPR001733)Q2KID7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q0V888(Evidence code:IEA/Database source:InterPro:IPR003378)Q1JPA0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P00426(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P13184(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QQR5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A8PVV5(Evidence code:IEA/Database source:InterPro:IPR001285|I)A0JND8(Evidence code:IEA/Database source:InterPro:IPR009147)A6H7H3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q3T133(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q3ZBG9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A6QLP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P23935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A7YY49(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q8MJ82(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P31800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5GJ77(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)O78186(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5EA68(Evidence code:IEA/Database source:InterPro:IPR002208)Q5E9X4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)B8Y6C2(Evidence code:IEA/Database source:InterPro:IPR000109), COX5B ARL6IP5 SDHA TREM1 SEC11C OSTC COPG ALDH3B1 COX5A COX7A2 C1QBP TMEM43 SYPL1 ABCC4 LOC789567 TMED9 PLSCR2 ATP5J2 SSR1 NDUFA5 SURF4 lman1 UQCRC1 ATP5H GPAM ATP5F1 Man8 ATP5J SEC61A1 LRRC59 SLC15A2,CC,31,31 of 1837,59.62,1.69,2.077E-18,6.689E-16
GO:0005739,mitochondrion,P31039(Evidence code:ISS/Database source:UniProtKB:P31040)P00432(Evidence code:IBA/Database source:PANTHER:PTN000157252)P31800(Evidence code:ISS/Database source:UniProtKB:Q9CZ13)P13184(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q3SZI8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P23935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P52505(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)F1MDS3(Evidence code:IEA/Database source:UniProtKB:Q16822|ens)Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q29RZ0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P00428(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q5GJ77(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0496)P00426(Evidence code:ISS/Database source:UniProtKB:P12787), SDHA CAT UQCRC1 COX7A2 ATP5H IVD ATP5F1 NDUFA5 NDUFAB1 PCK2 C1QBP ACAT1 COX5B GPAM ATP5J2 ATP5J COX5A,CC,17,17 of 380,32.69,4.47,6.309E-18,1.016E-15
GO:0005783,endoplasmic reticulum,Q5E9X4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q3T0L2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q2KI36(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q1LZB0(Evidence code:ISS/Database source:UniProtKB:Q80WW9)Q148K7(Evidence code:IEA/Database source:InterPro:IPR010483)Q2KID7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q5E983(Evidence code:IEA/Database source:UniProtKB:P24534|ens)Q5EA68(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)A7YY49(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q5E973(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q3T133(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q58DQ3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)A6QLP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256), LRRC59 ERP44 SEC11C DDRGK1 LRPAP1 OSTC EEF1B SEC61A1 SURF4 ARL6IP5 RPL18 TMED9 RPL6 SSR1,CC,14,14 of 220,26.92,6.36,3.653E-17,3.921E-15
GO:0016021,integral component of membrane,Q3T133(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A8PVV5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6QLP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2KI36(Evidence code:IEA/Database source:InterPro:IPR019756|I)Q5GJ77(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A0JND8(Evidence code:IEA/Database source:InterPro:IPR011527|I)A6QQR5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A7YY49(Evidence code:IEA/Database source:InterPro:IPR002995)Q3ZBG9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5E9X4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q8MJ82(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)O78186(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5EA68(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)A6H7H3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q2KID7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)B8Y6C2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q6QUN5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0812), TMED9 SYPL1 SSR1 SEC11C GPAM ABCC4 TMEM43 SURF4 PLSCR2 LRRC59 lman1 Man8 SEC61A1 LOC789567 ARL6IP5 OSTC SLC15A2 TREM1 ATP5J2,CC,19,19 of 1299,36.54,1.46,2.011E-11,1.187E-09
GO:0005743,mitochondrial inner membrane,P31039(Evidence code:ISS/Database source:UniProtKB:Q0QF01)P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P23935(Evidence code:IEA/Database source:InterPro:IPR006806)P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P00426(Evidence code:IEA/Database source:InterPro:IPR003204|I)P00428(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999)P31800(Evidence code:ISS/Database source:UniProtKB:Q9CZ13)P13184(Evidence code:IEA/Database source:UniProtKB-KW:KW-0999), SDHA ATP5J ATP5J2 NDUFA5 ATP5H COX5A COX5B ATP5F1 UQCRC1 COX7A2,CC,10,10 of 215,19.23,4.65,1.591E-11,1.187E-09
GO:0005840,ribosome,Q5E9E6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0689)Q58DQ3(Evidence code:IEA/Database source:InterPro:IPR000915|I)Q56JX8(Evidence code:IEA/Database source:InterPro:IPR000589|I)Q58DT1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0689)Q2TBQ5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0689)Q5E973(Evidence code:IEA/Database source:InterPro:IPR000039|I), RPL10A RPL6 RPS13 RPL7 RPL7A RPL18,CC,6,6 of 26,11.54,23.08,2.213E-11,1.187E-09
GO:0055114,oxidation-reduction process,P31800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)P23935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)P31039(Evidence code:IEA/Database source:InterPro:IPR003952|I)P52505(Evidence code:IEA/Database source:UniProtKB-KW:KW-0249)Q1JPA0(Evidence code:IEA/Database source:InterPro:IPR012394|I)Q3SZI8(Evidence code:IEA/Database source:InterPro:IPR006089|I)P00432(Evidence code:IEA/Database source:InterPro:IPR011614|I)A6H7H3(Evidence code:IEA/Database source:GO:0016491)Q6SYC4(Evidence code:IEA/Database source:InterPro:IPR000907|I),UQCRC1 NDUFA5 SDHA NDUFAB1 ALDH3B1 IVD CAT LOC789567 ALOX12,BP,9,9 of 162,17.31,5.56,3.413E-11,1.57E-09
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)",P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0138)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0138)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0138)P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0138), ATP5H ATP5F1 ATP5J2 ATP5J,CC,4,4 of 11,7.69,36.36,1.082E-08,4.355E-07
GO:0005789,endoplasmic reticulum membrane,Q5EA68(Evidence code:ISS/Database source:UniProtKB:P61619)A6QLP7(Evidence code:IEA/Database source:InterPro:IPR005595)A7YY49(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q5E9M1(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3T133(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q5E9X4(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q2KI36(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q3T0L2(Evidence code:IEA/Database source:UniProtKB:Q9BS26|ens), SEC61A1 SSR1 SURF4 ARL6IP5 TMED9 LRRC59 SEC11C ERP44,CC,8,8 of 244,15.38,3.28,2.064E-08,7.385E-07
GO:0022625,cytosolic large ribosomal subunit,Q5E9E6(Evidence code:IEA/Database source:UniProtKB:P62906|ens)Q58DQ3(Evidence code:ISS/Database source:UniProtKB:Q02878)Q2TBQ5(Evidence code:IBA/Database source:PANTHER:PTN000559990)Q5E973(Evidence code:ISS/Database source:UniProtKB:Q07020)Q58DT1(Evidence code:IBA/Database source:PANTHER:PTN000897517), RPL10A RPL6 RPL7A RPL18 RPL7,CC,5,5 of 45,9.62,11.11,2.81E-08,9.048E-07
